idx,total,fname,family,gate_set,opt,qbits,strategy,noise,comm_multiplier,primitive,parts,orig_line
1,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.0,cat,2,"Experiment 1/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.0x, cat, parts=2"
2,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.0,cat,4,"Experiment 2/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.0x, cat, parts=4"
3,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.0,teleportation,2,"Experiment 3/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.0x, teleportation, parts=2"
4,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.0,teleportation,4,"Experiment 4/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.0x, teleportation, parts=4"
5,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.05,cat,2,"Experiment 5/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.05x, cat, parts=2"
6,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.05,cat,4,"Experiment 6/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.05x, cat, parts=4"
7,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.05,teleportation,2,"Experiment 7/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.05x, teleportation, parts=2"
8,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.05,teleportation,4,"Experiment 8/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.05x, teleportation, parts=4"
9,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.1,cat,2,"Experiment 9/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.1x, cat, parts=2"
10,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.1,cat,4,"Experiment 10/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.1x, cat, parts=4"
11,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.1,teleportation,2,"Experiment 11/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.1x, teleportation, parts=2"
12,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.1,teleportation,4,"Experiment 12/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.1x, teleportation, parts=4"
13,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.2,cat,2,"Experiment 13/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.2x, cat, parts=2"
14,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.2,cat,4,"Experiment 14/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.2x, cat, parts=4"
15,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.2,teleportation,2,"Experiment 15/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.2x, teleportation, parts=2"
16,26240,graphstate_nativegates_ibm_opt0_4q,graphstate,nativegates_ibm_opt0,opt0,4,global,0.01,1.2,teleportation,4,"Experiment 16/26240: graphstate_nativegates_ibm_opt0_4q (4q), global, noise=0.01, comm=1.2x, teleportation, parts=4"
