noise_multiplier,communication,local_noise,avg_error_reduction,avg_noisy_error,partition_trend,algorithm
1.0,cat,0.001,-2.696085858585853,0.053333333333333316,decreases,dj_indep_10q
1.0,cat,0.005,-0.12777777777777596,0.07166666666666666,decreases,dj_indep_10q
1.0,cat,0.01,-0.54494899365867,0.11166666666666662,increases,dj_indep_10q
1.0,cat,0.015,-1.1357264957264985,0.06166666666666663,increases,dj_indep_10q
1.0,cat,0.02,-7.781212121212145,0.048333333333333305,remains stable,dj_indep_10q
1.0,teleportation,0.001,-1.1259994172494177,0.07666666666666665,decreases,dj_indep_10q
1.0,teleportation,0.005,-1.087772505272506,0.06916666666666664,increases,dj_indep_10q
1.0,teleportation,0.01,-0.5069845513963162,0.07666666666666665,decreases,dj_indep_10q
1.0,teleportation,0.015,-0.43843915343915213,0.06833333333333333,increases,dj_indep_10q
1.0,teleportation,0.02,-1.0491666666666672,0.07833333333333332,decreases,dj_indep_10q
1.1,cat,0.001,0.2913616557734209,0.09999999999999998,increases,dj_indep_10q
1.1,cat,0.005,-0.12895843287147576,0.11333333333333333,remains stable,dj_indep_10q
1.1,cat,0.01,-2.8015692640692627,0.05666666666666669,decreases,dj_indep_10q
1.1,cat,0.015,-0.8392857142857123,0.04833333333333332,decreases,dj_indep_10q
1.1,cat,0.02,-2145715022462742.2,0.04333333333333331,decreases,dj_indep_10q
1.1,teleportation,0.001,-480383960252854.25,0.04416666666666667,decreases,dj_indep_10q
1.1,teleportation,0.005,-3.850648148148176,0.061666666666666654,decreases,dj_indep_10q
1.1,teleportation,0.01,-0.357225829725828,0.09666666666666666,decreases,dj_indep_10q
1.1,teleportation,0.015,-2.4906535947712323,0.08333333333333336,decreases,dj_indep_10q
1.1,teleportation,0.02,0.23015873015872898,0.06166666666666664,decreases,dj_indep_10q
1.2,cat,0.001,-936748722493063.4,0.04999999999999998,decreases,dj_indep_10q
1.2,cat,0.005,-1.061446886446901,0.07999999999999995,remains stable,dj_indep_10q
1.2,cat,0.01,-0.16349206349206447,0.048333333333333284,decreases,dj_indep_10q
1.2,cat,0.015,-36028797018965.54,0.03666666666666665,increases,dj_indep_10q
1.2,cat,0.02,-544435154953233.5,0.09166666666666663,decreases,dj_indep_10q
1.2,teleportation,0.001,-0.2713739963739969,0.10499999999999997,increases,dj_indep_10q
1.2,teleportation,0.005,-1.6531926406926356,0.04833333333333332,increases,dj_indep_10q
1.2,teleportation,0.01,-0.6483640755379882,0.08333333333333333,decreases,dj_indep_10q
1.2,teleportation,0.015,-1.5335644257703074,0.06999999999999995,increases,dj_indep_10q
1.2,teleportation,0.02,-1.320695970695969,0.08666666666666663,decreases,dj_indep_10q
1.0,cat,0.001,-1.4633015873015864,0.3666666666666667,decreases,dj_indep_3q
1.0,cat,0.005,0.06304713804713724,0.3766666666666667,decreases,dj_indep_3q
1.0,cat,0.01,-0.17470624613481942,0.37666666666666654,increases,dj_indep_3q
1.0,cat,0.015,-0.9532420091324235,0.2633333333333333,decreases,dj_indep_3q
1.0,cat,0.02,-0.04533333333333343,0.40666666666666657,decreases,dj_indep_3q
1.0,teleportation,0.001,-3362687721769972.0,0.4033333333333333,decreases,dj_indep_3q
1.0,teleportation,0.005,0.24405430711610518,0.3833333333333333,remains stable,dj_indep_3q
1.0,teleportation,0.01,0.453006872852234,0.38999999999999996,increases,dj_indep_3q
1.0,teleportation,0.015,0.26333333333333336,0.41,increases,dj_indep_3q
1.0,teleportation,0.02,0.12608225108225238,0.33,decreases,dj_indep_3q
1.1,cat,0.001,-1.27905559786748,0.38666666666666655,remains stable,dj_indep_3q
1.1,cat,0.005,-1.0997938144329888,0.3633333333333333,decreases,dj_indep_3q
1.1,cat,0.01,-2.418434343434342,0.31666666666666665,decreases,dj_indep_3q
1.1,cat,0.015,-0.3581890331890329,0.36000000000000004,increases,dj_indep_3q
1.1,cat,0.02,0.21414141414141383,0.37999999999999995,increases,dj_indep_3q
1.1,teleportation,0.001,-108086391056891.55,0.38333333333333336,decreases,dj_indep_3q
1.1,teleportation,0.005,0.4349515776319907,0.3766666666666667,increases,dj_indep_3q
1.1,teleportation,0.01,0.32013071895424833,0.4533333333333333,increases,dj_indep_3q
1.1,teleportation,0.015,0.12356009070294825,0.38999999999999996,decreases,dj_indep_3q
1.1,teleportation,0.02,-2.60079365079366,0.34333333333333327,decreases,dj_indep_3q
1.2,cat,0.001,-0.4999999999999998,0.3933333333333333,decreases,dj_indep_3q
1.2,cat,0.005,0.46500000000000047,0.39333333333333337,increases,dj_indep_3q
1.2,cat,0.01,-2.0141489804411226,0.32999999999999996,decreases,dj_indep_3q
1.2,cat,0.015,0.5336621315192744,0.43999999999999995,increases,dj_indep_3q
1.2,cat,0.02,-1.2478764478764506,0.2833333333333333,decreases,dj_indep_3q
1.2,teleportation,0.001,-1729382256910268.8,0.35999999999999993,remains stable,dj_indep_3q
1.2,teleportation,0.005,-0.19787347155768212,0.40666666666666657,decreases,dj_indep_3q
1.2,teleportation,0.01,-0.24905149051490474,0.3033333333333334,increases,dj_indep_3q
1.2,teleportation,0.015,-1.4079069767441907,0.3266666666666666,remains stable,dj_indep_3q
1.2,teleportation,0.02,-0.11975655430711611,0.35333333333333333,increases,dj_indep_3q
1.0,cat,0.001,0.4336363636363638,0.10500000000000001,decreases,dj_indep_2q
1.0,cat,0.005,-5.0750000000000215,0.024999999999999897,increases,dj_indep_2q
1.0,cat,0.01,-5.5111111111111395,0.04999999999999995,decreases,dj_indep_2q
1.0,cat,0.015,0.03333333333333183,0.04,decreases,dj_indep_2q
1.0,cat,0.02,-0.13142857142857073,0.060000000000000005,decreases,dj_indep_2q
1.0,teleportation,0.001,-1.517857142857142,0.16,decreases,dj_indep_2q
1.0,teleportation,0.005,-0.7964285714285707,0.095,increases,dj_indep_2q
1.0,teleportation,0.01,-0.38307692307692265,0.09,increases,dj_indep_2q
1.0,teleportation,0.015,-0.10499999999999954,0.11,decreases,dj_indep_2q
1.0,teleportation,0.02,-4179340454199820.5,0.1,decreases,dj_indep_2q
1.1,cat,0.001,0.2738095238095252,0.1,increases,dj_indep_2q
1.1,cat,0.005,0.5285714285714285,0.07500000000000001,increases,dj_indep_2q
1.1,cat,0.01,-0.20666666666666583,0.06999999999999995,decreases,dj_indep_2q
1.1,cat,0.015,-3.9799999999999955,0.055,decreases,dj_indep_2q
1.1,cat,0.02,-1.5500000000000005,0.07999999999999995,decreases,dj_indep_2q
1.1,teleportation,0.001,-0.799999999999995,0.035,increases,dj_indep_2q
1.1,teleportation,0.005,0.5816849816849817,0.16999999999999998,increases,dj_indep_2q
1.1,teleportation,0.01,-0.08666666666666639,0.065,increases,dj_indep_2q
1.1,teleportation,0.015,0.09999999999999974,0.060000000000000005,increases,dj_indep_2q
1.1,teleportation,0.02,0.8400000000000003,0.05,remains stable,dj_indep_2q
1.2,cat,0.001,0.1846153846153848,0.065,remains stable,dj_indep_2q
1.2,cat,0.005,-1.520000000000006,0.05499999999999995,decreases,dj_indep_2q
1.2,cat,0.01,-0.26,0.09499999999999996,increases,dj_indep_2q
1.2,cat,0.015,-0.5428571428571429,0.10499999999999995,decreases,dj_indep_2q
1.2,cat,0.02,0.4937499999999999,0.10999999999999995,decreases,dj_indep_2q
1.2,teleportation,0.001,0.15661764705882356,0.1249999999999999,decreases,dj_indep_2q
1.2,teleportation,0.005,-4.566666666666681,0.09499999999999989,decreases,dj_indep_2q
1.2,teleportation,0.01,-0.3685714285714288,0.060000000000000005,increases,dj_indep_2q
1.2,teleportation,0.015,0.5900000000000001,0.12999999999999995,decreases,dj_indep_2q
1.2,teleportation,0.02,0.3342857142857145,0.11999999999999995,increases,dj_indep_2q
1.0,cat,0.001,-1.6766025641025624,0.06599999999999998,remains stable,dj_indep_5q
1.0,cat,0.005,-0.6283333333333332,0.061999999999999965,decreases,dj_indep_5q
1.0,cat,0.01,-0.029604395604395206,0.12799999999999995,increases,dj_indep_5q
1.0,cat,0.015,-144115188075856.5,0.066,decreases,dj_indep_5q
1.0,cat,0.02,0.12505494505494444,0.10400000000000001,remains stable,dj_indep_5q
1.0,teleportation,0.001,-1.001333333333332,0.05799999999999998,decreases,dj_indep_5q
1.0,teleportation,0.005,-422737885022511.4,0.04200000000000002,decreases,dj_indep_5q
1.0,teleportation,0.01,-0.7784444444444436,0.07599999999999996,increases,dj_indep_5q
1.0,teleportation,0.015,0.055619047619047936,0.06000000000000001,decreases,dj_indep_5q
1.0,teleportation,0.02,-1.0936410256410216,0.048,remains stable,dj_indep_5q
1.1,cat,0.001,-1.6434285714285704,0.09599999999999996,increases,dj_indep_5q
1.1,cat,0.005,0.15711111111111148,0.10399999999999998,increases,dj_indep_5q
1.1,cat,0.01,-432345564227568.4,0.049999999999999975,decreases,dj_indep_5q
1.1,cat,0.015,0.05734265734265749,0.11999999999999993,decreases,dj_indep_5q
1.1,cat,0.02,-1.1581818181818204,0.04399999999999996,increases,dj_indep_5q
1.1,teleportation,0.001,-0.6874999999999991,0.096,increases,dj_indep_5q
1.1,teleportation,0.005,-0.6991111111111113,0.09799999999999995,decreases,dj_indep_5q
1.1,teleportation,0.01,-1.9716666666666574,0.074,remains stable,dj_indep_5q
1.1,teleportation,0.015,-1.3961538461538434,0.05,increases,dj_indep_5q
1.1,teleportation,0.02,-2978380553567688.5,0.061999999999999986,remains stable,dj_indep_5q
1.2,cat,0.001,-0.17833333333333432,0.10399999999999995,remains stable,dj_indep_5q
1.2,cat,0.005,-0.1415614973262036,0.096,increases,dj_indep_5q
1.2,cat,0.01,-0.49516483516483306,0.07999999999999999,decreases,dj_indep_5q
1.2,cat,0.015,-7.412222222222214,0.1,increases,dj_indep_5q
1.2,cat,0.02,-1.1666666666666634,0.03999999999999998,decreases,dj_indep_5q
1.2,teleportation,0.001,-0.3147186147186151,0.07999999999999996,decreases,dj_indep_5q
1.2,teleportation,0.005,0.05884615384615417,0.09399999999999997,increases,dj_indep_5q
1.2,teleportation,0.01,-96076792050569.52,0.04999999999999997,decreases,dj_indep_5q
1.2,teleportation,0.015,0.12717678812415617,0.16199999999999998,increases,dj_indep_5q
1.2,teleportation,0.02,-1.877999999999998,0.04399999999999998,decreases,dj_indep_5q
1.0,cat,0.001,-0.5092063492063496,0.07,decreases,dj_indep_9q
1.0,cat,0.005,-2.2282539682539624,0.07833333333333332,remains stable,dj_indep_9q
1.0,cat,0.01,-0.564470899470897,0.06166666666666665,increases,dj_indep_9q
1.0,cat,0.015,-0.33692640692640574,0.08166666666666668,increases,dj_indep_9q
1.0,cat,0.02,-354283170686478.7,0.10166666666666664,increases,dj_indep_9q
