Algorithm,Local Noise,Comm Noise Mult,Strategy,CAT Error,tp Error
dj_indep_10q,0.001,1.0,global,0.09,0.06666666666666664
dj_indep_10q,0.001,1.0,local,,0.11666666666666664
dj_indep_10q,0.001,1.0,no,0.08666666666666667,0.10999999999999997
dj_indep_10q,0.001,1.1,global,0.07333333333333326,0.12999999999999998
dj_indep_10q,0.001,1.1,local,,0.06333333333333334
dj_indep_10q,0.001,1.1,no,0.06833333333333334,0.09833333333333333
dj_indep_10q,0.001,1.2,global,0.10333333333333328,0.09166666666666663
dj_indep_10q,0.001,1.2,local,,0.0833333333333333
dj_indep_10q,0.001,1.2,no,0.07833333333333332,0.09500000000000001
dj_indep_10q,0.005,1.0,global,0.15333333333333332,0.09333333333333332
dj_indep_10q,0.005,1.0,local,,0.08166666666666662
dj_indep_10q,0.005,1.0,no,0.026666666666666655,0.07833333333333328
dj_indep_10q,0.005,1.1,global,0.0433333333333333,0.10333333333333332
dj_indep_10q,0.005,1.1,local,,0.07666666666666667
dj_indep_10q,0.005,1.1,no,0.08166666666666662,0.12499999999999999
dj_indep_10q,0.005,1.2,global,0.033333333333333305,0.09333333333333328
dj_indep_10q,0.005,1.2,local,,0.06499999999999993
dj_indep_10q,0.005,1.2,no,0.10499999999999997,0.04333333333333328
dj_indep_10q,0.01,1.0,global,0.07666666666666667,0.13499999999999998
dj_indep_10q,0.01,1.0,local,,0.08333333333333333
dj_indep_10q,0.01,1.0,no,0.04499999999999999,0.11
dj_indep_10q,0.01,1.1,global,0.06333333333333331,0.05666666666666662
dj_indep_10q,0.01,1.1,local,,0.08166666666666665
dj_indep_10q,0.01,1.1,no,0.07833333333333335,0.04166666666666665
dj_indep_10q,0.01,1.2,global,0.08333333333333333,0.07166666666666664
dj_indep_10q,0.01,1.2,local,,0.06666666666666664
dj_indep_10q,0.01,1.2,no,0.08499999999999995,0.05166666666666664
dj_indep_10q,0.015,1.0,global,0.04,0.06999999999999997
dj_indep_10q,0.015,1.0,local,,0.11333333333333333
dj_indep_10q,0.015,1.0,no,0.13166666666666665,0.09166666666666666
dj_indep_10q,0.015,1.1,global,0.009999999999999988,0.07833333333333335
dj_indep_10q,0.015,1.1,local,,0.03999999999999998
dj_indep_10q,0.015,1.1,no,0.08999999999999997,0.07999999999999999
dj_indep_10q,0.015,1.2,global,0.11333333333333336,0.06833333333333334
dj_indep_10q,0.015,1.2,local,,0.08999999999999998
dj_indep_10q,0.015,1.2,no,0.05166666666666664,0.09166666666666662
dj_indep_10q,0.02,1.0,global,0.0333333333333333,0.08000000000000003
dj_indep_10q,0.02,1.0,local,,0.08499999999999995
dj_indep_10q,0.02,1.0,no,0.0366666666666666,0.10666666666666667
dj_indep_10q,0.02,1.1,global,0.12333333333333323,0.05166666666666663
dj_indep_10q,0.02,1.1,local,,0.08333333333333331
