origin,strategy,communication_noise_multiplier,local_noise,communication_primitive,num_qubits,circuit_depth,partitioned_depth,num_partitions_requested,num_partitions_tested,noise_free_expectation,noisy_expectation,zne_expectation,noisy_error,zne_error,error_reduction,partition_time,shots,seed
dj_indep_10q,global,1.0,0.001,cat,10,11,31,6,6,0.07,-0.02,0.038,0.09,0.0319999999999999,0.6444444444444447,0.0040109157562255,200,
dj_indep_10q,global,1.1,0.001,cat,10,11,28,2,2,-0.01,-0.05,-0.0699999999999999,0.04,0.0599999999999999,-0.4999999999999995,0.0037591457366943,200,
dj_indep_10q,global,1.1,0.001,cat,10,11,28,4,4,-0.07,0.0899999999999999,-0.064,0.1599999999999999,0.006,0.9625,0.0074920654296875,200,
dj_indep_10q,global,1.1,0.001,cat,10,11,31,6,6,0.03,0.0499999999999999,0.006,0.0199999999999999,0.024,-0.200000000000005,0.0040819644927978,200,
dj_indep_10q,global,1.2,0.001,cat,10,11,28,2,2,0.05,0.1399999999999999,0.128,0.0899999999999999,0.0779999999999999,0.1333333333333329,0.0068280696868896,200,
dj_indep_10q,global,1.2,0.001,cat,10,11,28,4,4,0.09,0.06,-0.0259999999999998,0.0299999999999999,0.1159999999999999,-2.866666666666668,0.0036799907684326,200,
dj_indep_10q,global,1.2,0.001,cat,10,11,31,6,6,-0.05,0.1399999999999999,0.0719999999999999,0.19,0.1219999999999999,0.3578947368421054,0.0033817291259765,200,
dj_indep_10q,global,1.0,0.005,cat,10,11,28,2,2,-0.09,0.06,-0.0279999999999998,0.15,0.0620000000000001,0.5866666666666659,0.0029947757720947,200,
dj_indep_10q,global,1.0,0.005,cat,10,11,28,4,4,0.09,-0.04,0.006,0.13,0.084,0.353846153846154,0.003054141998291,200,
dj_indep_10q,global,1.0,0.005,cat,10,11,31,6,6,-0.05,0.13,0.1539999999999999,0.18,0.2039999999999999,-0.1333333333333324,0.0031871795654296,200,
dj_indep_10q,global,1.1,0.005,cat,10,11,28,2,2,0.08,0.0099999999999999,-0.006,0.07,0.086,-0.2285714285714278,0.0084879398345947,200,
dj_indep_10q,global,1.1,0.005,cat,10,11,28,4,4,-0.02,-0.0699999999999999,-0.146,0.0499999999999999,0.126,-1.520000000000002,0.0030369758605957,200,
dj_indep_10q,global,1.1,0.005,cat,10,11,31,6,6,-0.01,1.5612511283791264e-17,0.0679999999999999,0.01,0.0779999999999999,-6.799999999999971,0.0084259510040283,200,
dj_indep_10q,global,1.2,0.005,cat,10,11,28,2,2,-0.1,-0.1099999999999999,0.1899999999999999,0.0099999999999999,0.29,-28.000000000000224,0.0033760070800781,200,
dj_indep_10q,global,1.2,0.005,cat,10,11,28,4,4,0.03,-0.0399999999999999,0.1059999999999999,0.07,0.0759999999999999,-0.0857142857142847,0.0029199123382568,200,
